# ppt
,Texas
TIMESTEP,MEAN(mm/month)
1954-03-01T00:00:00Z,2.676746
1954-04-01T00:00:00Z,27.36666
1954-05-01T00:00:00Z,79.70623
1954-06-01T00:00:00Z,27.041908
1954-07-01T00:00:00Z,45.505848
1954-08-01T00:00:00Z,74.51687
1954-09-01T00:00:00Z,10.301996
1954-10-01T00:00:00Z,27.298315
1954-11-01T00:00:00Z,0.36715645
1954-12-01T00:00:00Z,1.9892254
1955-01-01T00:00:00Z,2.5474472
1955-02-01T00:00:00Z,3.2378001
1955-03-01T00:00:00Z,8.458277
1955-04-01T00:00:00Z,38.61172
1955-05-01T00:00:00Z,137.87315
1955-06-01T00:00:00Z,64.94238
1955-07-01T00:00:00Z,22.117083
1955-08-01T00:00:00Z,45.26949
1955-09-01T00:00:00Z,49.28179
1955-10-01T00:00:00Z,1.292952
1955-11-01T00:00:00Z,3.5598035
1955-12-01T00:00:00Z,0.8234577
1956-01-01T00:00:00Z,4.789986
1956-02-01T00:00:00Z,5.49521
1956-03-01T00:00:00Z,2.643522
1956-04-01T00:00:00Z,1.2141551
1956-05-01T00:00:00Z,59.72996
1956-06-01T00:00:00Z,48.308357
1956-07-01T00:00:00Z,93.03148
1956-08-01T00:00:00Z,51.169575
1956-09-01T00:00:00Z,1.5334264
1956-10-01T00:00:00Z,13.490379
1956-11-01T00:00:00Z,0.43894026
1956-12-01T00:00:00Z,0.016258437
1957-01-01T00:00:00Z,11.582248
1957-02-01T00:00:00Z,6.0666275
